similarity_method,accuracy,total_questions,right_questions
partial_ratio,0.333,27,"[2, 7, 18, 20, 27, 28, 30, 40, 42]"
token_set_ratio,0.333,27,"[2, 3, 4, 7, 8, 16, 18, 27, 45]"
token_ratio,0.333,27,"[2, 3, 4, 7, 8, 16, 18, 27, 45]"
partial_token_sort_ratio,0.333,27,"[4, 7, 18, 20, 27, 28, 40, 45, 46]"
token_sort_ratio,0.111,27,"[3, 4, 8]"
ratio,0.074,27,"[8, 14]"
partial_token_set_ratio,0.074,27,"[20, 28]"
partial_token_ratio,0.074,27,"[20, 28]"
WRatio,0.074,27,"[20, 28]"
QRatio,0.074,27,"[8, 14]"
