similarity_method,score,right_questions
partial_ratio,17,"[1, 2, 4, 7, 8, 16, 17, 18, 20, 27, 28, 30, 32, 38, 40, 42, 45]"
partial_token_sort_ratio,17,"[2, 3, 4, 6, 7, 8, 16, 17, 18, 20, 27, 28, 38, 40, 45, 46, 47]"
token_ratio,15,"[2, 3, 4, 7, 8, 13, 14, 16, 17, 18, 20, 27, 28, 38, 45]"
token_set_ratio,15,"[2, 3, 4, 7, 8, 13, 14, 16, 17, 18, 20, 27, 28, 38, 45]"
token_sort_ratio,7,"[2, 3, 4, 8, 14, 21, 45]"
WRatio,6,"[4, 6, 20, 23, 27, 28]"
partial_token_ratio,4,"[13, 20, 23, 28]"
partial_token_set_ratio,4,"[13, 20, 23, 28]"
ratio,3,"[8, 14, 45]"
QRatio,3,"[8, 14, 45]"
