wpp_question,wpp_to_faq_annotation,bert_match_faq_question,score
1,57; 56,58,0.7281
2,109; 110,110,0.7123
3,109; 110,65,0.7947
4,109; 110,110,0.7597
5,103,110,0.7428
6,103,26,0.7477
7,107,11,0.6894
8,50,50,0.7461
9,,26,0.6926
10,,110,0.7296
11,,79,0.7195
12,103,12,0.7186
13,50; 54; 76; 55; 69; 89,65,0.7793
14,67; 69,65,0.7359
15,,35,0.7186
16,48,91,0.7237
17,57; 72,24,0.7398
18,44; 46; 48,21,0.6886
19,23,22,0.7067
20,6; 7; 8,65,0.7469
21,86,86,0.7969
22,,55,0.7783
23,50,91,0.723
24,,55,0.7733
25,,97,0.7198
26,,110,0.6995
27,102 ; 103,20,0.6492
28,102 ; 103,103,0.6971
29,102 ; 103,87,0.6845
30,102 ; 103,14,0.7483
31,102 ; 103,109,0.7293
32,102 ; 103,64,0.6797
33,103; 106,20,0.6333
34,,14,0.7368
35,103; 106,87,0.6761
36,,53,0.716
37,103,14,0.6499
38,103,82,0.6611
39,102; 103,39,0.7125
40,102; 103; 106,61,0.6971
41,102,82,0.6817
42,102; 103,110,0.6655
43,102,82,0.7296
44,73; 76,53,0.7342
45,73 ; 74,77,0.7742
46,73 ; 74,110,0.7114
47,74,110,0.7273
48,74,14,0.7311
